"ID","DEVICE","TIME_START","TIME_END","FREQUENCY","ENERGY","TEMPERATURE","HUMIDITY"
1,"device11","11:31:20","11:31:21",288.29,0.06,20.1,45.9
2,"device11","11:31:21","11:31:22",288.19,0.065,20.2,46
3,"device11","11:31:22","11:31:23",288.16,0.075,20.3,46.1
4,"device11","11:31:23","11:31:24",287.85,0.069,20.4,46.2
5,"device11","11:31:24","11:31:25",287.65,0.075,20.5,46.3
6,"device11","11:31:25","11:31:26",287.53,0.08,20.6,46.4
7,"device11","11:31:26","11:31:27",287.2,0.077,20.7,46.5
8,"device11","11:31:27","11:31:28",287.21,0.086,20.8,46.6
9,"device11","11:31:28","11:31:29",287.49,0.086,20.9,46.7
10,"device11","11:31:29","11:31:30",288.16,0.093,21,46.8
11,"device11","11:31:30","11:31:31",289.03,0.097,21.1,46.9
12,"device11","11:31:31","11:31:32",288.55,0.096,21.2,47
13,"device11","11:31:32","11:31:33",288.9,0.094,21.3,47.1
14,"device11","11:31:33","11:31:34",289.13,0.085,21.4,47.2
15,"device11","11:31:34","11:31:35",291.06,0.081,21.5,47.3
16,"device11","11:31:35","11:31:36",291.56,0.098,21.6,47.4
17,"device11","11:31:36","11:31:37",291.88,0.106,21.7,47.5
18,"device11","11:31:37","11:31:38",293.08,0.102,21.8,47.6
19,"device11","11:31:38","11:31:39",293.93,0.088,21.9,47.7
20,"device11","11:31:39","11:31:40",294.21,0.082,22,47.8
21,"device11","11:31:40","11:31:41",294.28,0.072,22.1,47.9
22,"device11","11:31:41","11:31:42",294.52,0.092,22.2,48
23,"device11","11:31:42","11:31:43",295,0.105,22.3,48.1
24,"device11","11:31:43","11:31:44",295.11,0.091,22.4,48.2
25,"device11","11:31:44","11:31:45",295.09,0.091,22.5,48.3
26,"device11","11:31:45","11:31:46",294.96,0.097,22.6,48.4
27,"device11","11:31:46","11:31:47",295.01,0.092,22.7,48.5
28,"device11","11:31:47","11:31:48",295.9,0.1,22.8,48.6
29,"device11","11:31:48","11:31:49",295.96,0.084,22.9,48.7
30,"device11","11:31:49","11:31:50",297.21,0.068,23,48.8
